1.2	189151184349561/90071992547409920
1.2	81064793292669/22517998136852480
1.2	45035996273705/9007199254740992
1.2	461168601842739/72057594037927936
1.2	6413125869375587/720575940379279360
1.2	1441151880758559/144115188075855872
1.2	7998392938210003/720575940379279360
1.2	1729382256910271/144115188075855872
1.2	5656521131977343/360287970189639680
1.2	2877800161889747/45035996273704960
1.2	1170935903116329/18014398509481984
1.2	607985949695017/9007199254740992
1.2	308496574474879/4503599627370496
1.2	626000348204499/9007199254740992
1.25	-5116089176692883/180143985094819840
1.25	-7638104968020361/288230376151711744
1.25	-17870283321406127/720575940379279360
1.25	-16285016252571713/720575940379279360
1.25	-14915921965851081/720575940379279360
1.25	-54187310716521803/2882303761517117440
1.25	-12177733392409821/720575940379279360
1.25	-43522786798908469/2882303761517117440
1.25	-4755801206503243/360287970189639680
1.25	-16429131440647567/1441151880758558720
1.25	-13835058055282161/1441151880758558720
1.25	-5620492334958379/720575940379279360
1.25	-864691128455135/144115188075855872
1.25	-6196953087261799/1441151880758558720
1.25	-3746994889972251/1441151880758558720
1.25	-1297036692682699/1441151880758558720
1.25	63050394783187/90071992547409920
1.25	207165582859043/90071992547409920
1.25	171136785840079/45035996273704960
1.25	477381560501273/90071992547409920
1.25	1152921504606847/144115188075855872
1.25	7493989779944507/720575940379279360
1.25	1657324662872343/144115188075855872
1.25	5620492334958379/360287970189639680
1.25	1170935903116329/18014398509481984
1.25	1224979098644775/18014398509481984
1.3	-18230571291595767/720575940379279360
1.3	-16789419410837209/720575940379279360
1.3	-15348267530078649/720575940379279360
1.3	-27958346486716037/1441151880758558720
1.3	-25076042725198919/1441151880758558720
1.3	-1116892707587883/72057594037927936
1.3	-972777519512027/72057594037927936
1.3	-8358680908399639/720575940379279360
1.3	-13979173243358017/1441151880758558720
1.3	-2846274964498153/360287970189639680
1.3	-864691128455135/144115188075855872
1.3	-12105675798371887/2882303761517117440
1.3	-3458764513820539/1441151880758558720
1.3	-2017612633061977/2882303761517117440
1.3	9007199254741/9007199254740992
1.3	117093590311633/45035996273704960
1.3	5116089176692883/720575940379279360
1.3	1224979098644775/144115188075855872
1.3	8574853690513427/720575940379279360
1.3	1116892707587883/72057594037927936
1.3	1152921504606847/18014398509481984
1.3	1170935903116329/18014398509481984
1.35	-16140901064495857/576460752303423488
1.35	-35596451454736401/1441151880758558720
1.35	-17221764975064777/720575940379279360
1.35	-15708555500268289/720575940379279360
1.35	-28534807239019459/1441151880758558720
1.35	-25508388289426487/1441151880758558720
1.35	-5656521131977343/360287970189639680
